Tweet,Tweet IDs,Aggression,Arousal1 (1-5),Arousal2 (1-5),Arousal3 (1-5),Sarcasm-Irony-RhetoricalQuestions,Pun-Wordplay,Metaphor-Simile,Stance,Hate Speech,Avg. Arousal
Kejri & rahul : hum is nasbandi ke khilaf hain ye to hitlar shahi hai ..  Reporter: sir yeh #notebandi hui hai ..aaap nasbandi karwalo,#796033860081426432,c,3,2,2,NO,YES,NO,f,NO,2.333333333
"@narendramodi sir, aaj kuchh garibo mazdooro kisano ki garibi ki politics karne Wale aapke 500,1000 notebandi k khilaaf hai. Azib halat hai.",#796754126671466496,n,2,3,2,NO,NO,NO,f,NO,2.333333333
"#ByeByeBlackmoney. Notebandi, Ghoosbandi and Nasbandi door kar degi desh ki gandagi.",#796755878682599424,n,4,3,4,NO,YES,NO,f,NO,3.666666667
Jaise notebandi nahi unki nasbandi kardi ho Modiji ne  https://twitter.com/anuraagmuskaan/status/796740961560772609 …,#796892982360162304,o,4,3,4,NO,YES,NO,f,NO,3.666666667
"sir aap to against corruption ke biradri wale ho to modi ka birodh kyo kar rahe ho. Notebandi wale kam ka to samarthan karo.,",#796908665047379968,c,3,4,2,NO,NO,NO,f,NO,3
congres ki nasbandi aur modi ji ki notebandi fark saf he aap gaye japan yaha halak me jan meri nahi mehalo walo ki sir aap great ho,#796926812664320001,n,4,4,2,NO,YES,NO,f,NO,3.333333333
kabhi kabhi sher ka shikar karne ke liye bhed (aam janta) ko chara banana padta hai. #notebandi,#796989042407731200,c,3,3,4,NO,NO,YES,f,NO,3.333333333
"Neta samajh. Nahi pa rahe hai ki notebandi par hindu muslim rajniti kaise kare , ye hi hai sabka sath sabka vikas",#796998309172740096,n,2,3,2,NO,NO,NO,f,NO,2.333333333
Ye Notebandi Atankbaadiyo aur Bharashtachaariyo ki NAKEBANDI hai. Sare Rashtrabhakta is nakebandi ke sath aur samarthan me aye.,#797003033531944961,o,4,5,4,NO,YES,NO,f,NO,4.333333333
Bechare ko Cocaine leni hai koi 500 1000 k note le nahi raha aana hi pada bank #NoteBandi #RushForCash #BlackMoney #ModiFightsCorruptionhttps://twitter.com/cnnnews18/status/797023597315268608 …,#797025207063953408,c,3,3,1,YES,NO,NO,n,NO,2.333333333
#notebandi @ZeeNews @aajtak @ndtv @indiatvnews @abpnewstv  ek Baar aam Aadmi ki life jee kar dekho kitni taklif ka Samna krna padta hai,#797046775232086016,n,1,2,1,NO,NO,NO,a,NO,1.333333333
Notebandi ka niyam : khata nahi hai to khulwao.   Aam aadmi : khulwa to lun. Par bhai bank main ghusun Kasey ?,#797074861277454336,c,3,2,2,YES,NO,NO,a,NO,2.333333333
#IndiraGandhi barbeed hui NASBANDI karwa ke  #MODI barbaad ho raha hai #notebandi karwa ke,#797082496865185793,c,3,2,4,NO,YES,NO,a,NO,3
Ye rumour vhi failla rhe hain jinhe 1000-500 notebandi se pareshan hain. https://twitter.com/raydeep/status/797111187615858690 …,#797117971369820160,c,2,2,1,NO,NO,NO,f,NO,1.666666667
#ATMRaGa Tweets se pata chal jayaga ki koun 1000-500 ke notebandi ke Samarthan mei hai aur koun corrupted hai.,#797120906921267200,c,2,2,3,YES,NO,NO,f,NO,2.333333333
@OfficeOfRG @INCIndia @rssurjewala  ye notebandi mujhe lagta hai un sab muddo se dhyan bhatkane ke liye hua hai jahan roj koi na koi shahid.,#797122428296052740,n,1,1,1,NO,NO,NO,a,NO,1
.@BhateKetan  Bhai @iamnarendranath ko bahut gehra sadma baitha hai..ek toh Bihar mein daarubandi upar se notebandi..aadmi frustrate hoga hi,#797159834273488896,c,3,4,3,NO,YES,NO,a,NO,3.333333333
Notebandi pe Modi pr haste hua bahut achche lagrahe hai,#797160874993516544,n,2,2,3,NO,NO,NO,a,NO,2.333333333
notebandi ki samasya se sabke liye he par aadmi aur aurat ka pakch rakhne ke liye media mein neta ko bulaya jata,#797166999440916480,n,1,2,1,NO,NO,NO,n,NO,1.333333333
"bivajan ka, dharm ka, sriram ka, achhe din ka, 15lakh ka, gomata ka, padmasri ka,  rastrvakti ka, kaledhan per notebandi ka nasha pila ke ?",#797177857814368256,c,4,4,3,YES,NO,NO,a,NO,3.666666667
Jai hind sir Apke notebandi saraahneeye kadam se desh ek nayi dish a ki or badhega.thank you sir,#797243966387261440,n,2,3,3,NO,NO,NO,f,NO,2.666666667
Deshwashiyo dukhi hain ya nhi but opposition leaders notebandi se bahut pareshan hain kinyoki ye hi corruption ke biggest birth Donner hai. https://twitter.com/nirbhaisingh07/status/796616188281454592 …,#797246094837096448,c,3,4,4,NO,NO,NO,f,NO,3.666666667
"SANCHHEP ME KAHNA HAIKI NOTEBANDI SE PAKISTAN, JALI NOTE BANANE WALE,HAWALA WALE,ATANKWADI ETC EFFECTED HAI.JISHKE PAS KALADHAN",#797256969874616320,n,4,4,4,NO,NO,NO,f,NO,4
"ji  lagta hain aplogo ne notebandi ke pahale hi apna aur apne logo ka bandobast kar rakha hain,tav logo  pareshani nahi para.",#797263396760453120,c,1,2,1,YES,NO,NO,a,NO,1.333333333
@sardanarohit @ArvindKejriwal modi ji ki notebandi pe aap ki nautanki..,#797299138115186688,c,2,3,1,NO,NO,NO,f,NO,2
kya Aam aadmi ke liye  #NoteBandi ka Faisla Shi hai?,#797317356993257472,n,3,2,3,NO,NO,NO,n,NO,2.666666667
":- Suna hai, Dhani log qasam khakar kah rahe hain ""Notebandi ki bhanak unnko toh bilkul nahi pahunchi"" Maan liya?",#797319566808354816,c,3,3,3,YES,NO,NO,a,NO,3
Narendra modi Ji 500 and 1000 me notebandi karke aapne bahut achaa   kaam kiya hai,#797339677623730176,n,3,3,3,NO,NO,NO,f,NO,3
"Rs. 2000/- ka note to le liya , but ab ye to market chal nahi raha ,, dukandar bol rahe he khulle nahi he.. :( #NoteBandi",#797345024555913216,n,1,2,1,NO,NO,NO,n,NO,1.333333333
@ArvindKejriwal Notebandi bada ghotala hai: Kejriwal. Bhai dukh tho hoga kejri  ko jo kala dhan kamaya use PM ne band hogaya taklef tho hogi,#797347669102297088,c,2,2,3,NO,NO,NO,f,NO,2.333333333
"what if .. Modi Ji says Mitron ,,, kal raat ko zyada ho gayi thi ,,. Kuch nahi badla he..   #NoteBandi",#797349017273282561,n,3,3,3,YES,NO,NO,n,NO,3
Notebandi ne thik kar diya https://twitter.com/ndtvindia/status/797345156026380288 …,#797351901453053952,n,2,3,1,NO,NO,NO,f,NO,2
